"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","junctionId"
"Gas5..161036244-161036548",1.20006250982947e-08,-0.367758701284509,0.943,0.962,0.00111054984722129,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161036244-161036548"
"Gas5..161037315-161037504",1.20110837308384e-08,-0.346291804188117,0.943,0.979,0.00111151769953552,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161037315-161037504"
"Gas5..161038037-161038224",1.29161850963404e-08,-0.346979007414464,0.943,0.979,0.00119527668500044,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161038037-161038224"
"Gas5..161038272-161038456",1.6784066483336e-08,-0.353922435677243,0.943,0.974,0.00155321429643439,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161038272-161038456"
"Gas5..161035194-161035751",1.69678099966649e-05,-0.253079780709092,0.886,0.889,1,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161035194-161035751"
"Ergic3..156011406-1560159881",6.21641073445673e-37,0.330466062086205,0.7,0.058,5.75272865777361e-32,"radial glia","radial glia vs mature Glutamatergic","Ergic3","156011406-156015988"
"Ergic3..156011406-1560153761",2.3007784911121e-20,-0.382024848290973,0.086,0.723,2.12916342346005e-15,"mature Glutamatergic","radial glia vs mature Glutamatergic","Ergic3","156011406-156015376"
"Ergic3..156015391-1560159881",3.42518790707806e-20,-0.380215970998199,0.1,0.727,3.1697031410891e-15,"mature Glutamatergic","radial glia vs mature Glutamatergic","Ergic3","156015391-156015988"
"Clta..44025560-440302141",1.21386276504802e-28,-0.734859036395944,0.071,0.881,1.12332074140309e-23,"mature Glutamatergic","radial glia vs mature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324001",4.61005823303242e-28,-0.70544902926908,0.071,0.874,4.26619398943053e-23,"mature Glutamatergic","radial glia vs mature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324001",3.42901125497678e-24,0.473590384398365,0.929,0.5,3.17324130546807e-19,"radial glia","radial glia vs mature Glutamatergic","Clta","44025560-44032400"
"Gas5..161037164-1610372871",3.29268520334422e-22,0.474238240522592,0.8,0.27,3.04708381402678e-17,"radial glia","radial glia vs mature Glutamatergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371231",3.7108742827636e-22,0.471337132407319,0.8,0.27,3.43408017001227e-17,"radial glia","radial glia vs mature Glutamatergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372871",1.31765924497371e-19,-0.621475587532035,0.786,0.986,1.21937504189112e-14,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161036852-161037287"
"Gas5..161036014-1610362071",1.03365493601246e-08,-0.331417599883848,0.943,0.986,0.000956554614335293,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161036014-161036207"
"Gas5..161036579-1610368191",4.09952364093199e-08,-0.310710352639483,0.943,0.986,0.00379374017255487,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161036579-161036819"
"Gas5..161035804-1610359821",7.63631063375476e-08,-0.31044411276635,0.943,0.986,0.00706671822358299,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161035804-161035982"
"Gas5..161038272-1610384561",2.20959101471266e-07,-0.299400258530022,0.943,0.986,0.0204477762092525,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161038272-161038456"
"Gas5..161036244-1610365481",2.51958241618592e-07,-0.30436924059076,0.943,0.975,0.0233164676376262,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161036244-161036548"
"Gas5..161037547-1610379941",3.08292716668669e-07,-0.29837094747666,0.943,0.986,0.0285297162932353,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161037547-161037994"
"Gas5..161037315-1610375041",3.88638537483149e-07,-0.291510055178985,0.943,0.986,0.0359649988972281,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161037315-161037504"
"Gas5..161038037-1610382241",4.25546641860788e-07,-0.29629039737008,0.943,0.986,0.0393805117844392,"mature Glutamatergic","radial glia vs mature Glutamatergic","Gas5","161038037-161038224"
"Gas5..161037164-1610372872",1.22812384481917e-16,0.447475716389271,0.8,0.194,1.13651808723411e-11,"radial glia","radial glia vs imature GABAergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371232",1.37379112944033e-16,0.444574608273998,0.8,0.194,1.27132004909538e-11,"radial glia","radial glia vs imature GABAergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372872",8.48435833998577e-12,-0.510876433840853,0.786,0.924,7.85151005140623e-07,"imature GABAergic","radial glia vs imature GABAergic","Gas5","161036852-161037287"
"Tecr..83573455-83573870",1.89116015930702e-07,0.251988940189518,0.9,0.458,0.0175009852302431,"radial glia","radial glia vs imature GABAergic","Tecr","83573455-83573870"
"Tecr..83573323-83573410",2.39181056875793e-07,0.252955608547833,0.9,0.458,0.0221340541843428,"radial glia","radial glia vs imature GABAergic","Tecr","83573323-83573410"
"Tecr..83573323-83573870",0.000106351310246022,-0.284882225358974,0.443,0.556,1,"imature GABAergic","radial glia vs imature GABAergic","Tecr","83573323-83573870"
"Ergic3..156011406-1560159882",9.35214526688625e-29,0.32485569353344,0.7,0.029,8.65456875142921e-24,"radial glia","radial glia vs mature GABAergic","Ergic3","156011406-156015988"
"Ergic3..156011406-1560153762",8.69786644535096e-12,-0.408428624139218,0.086,0.538,8.04909258719223e-07,"mature GABAergic","radial glia vs mature GABAergic","Ergic3","156011406-156015376"
"Ergic3..156015391-1560159882",1.84571448543605e-11,-0.40456015512914,0.1,0.538,1.70804264196738e-06,"mature GABAergic","radial glia vs mature GABAergic","Ergic3","156015391-156015988"
"Clta..44025560-440302142",2.09572288128133e-23,-0.764432709425392,0.071,0.827,1.93940291156655e-18,"mature GABAergic","radial glia vs mature GABAergic","Clta","44025560-44030214"
"Clta..44030268-440324002",2.27857495839904e-23,-0.754927029378032,0.071,0.827,2.10861605225205e-18,"mature GABAergic","radial glia vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440324002",2.6331873740363e-17,0.42886105621739,0.929,0.335,2.43677792780693e-12,"radial glia","radial glia vs mature GABAergic","Clta","44025560-44032400"
"Gas5..161037164-1610372873",8.31244335516222e-21,0.464512492726343,0.8,0.15,7.69241820530067e-16,"radial glia","radial glia vs mature GABAergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371233",9.09989359954848e-21,0.46161138461107,0.8,0.15,8.42113253595816e-16,"radial glia","radial glia vs mature GABAergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372873",2.78103449061404e-10,-0.449153849985167,0.786,0.896,2.57359712795914e-05,"mature GABAergic","radial glia vs mature GABAergic","Gas5","161036852-161037287"
"Rps24..24494069-24495429",5.68584228073667e-14,-0.841583792443829,0.086,0.938,5.26173530501652e-09,"Cajal-Retzius","radial glia vs Cajal-Retzius","Rps24","24494069-24495429"
"Rps24..24493493-24494051",1.40485277985505e-13,-0.843190453051247,0.1,0.938,1.30006481100566e-08,"Cajal-Retzius","radial glia vs Cajal-Retzius","Rps24","24493493-24494051"
"Rps24..24493493-24495429",0.00067051724360719,0.378793226474392,1,1,1,"radial glia","radial glia vs Cajal-Retzius","Rps24","24493493-24495429"
"Clta..44025560-440302143",3.06028910083269e-10,-0.528030688522372,0.071,0.75,2.83202213680158e-05,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","44025560-44030214"
"Clta..44030268-440324003",1.08924437487815e-07,-0.404978133253354,0.071,0.625,0.0100799763695599,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","44030268-44032400"
"Clta..44025560-440324003",2.04501080972242e-07,0.582517156946101,0.929,0.188,0.0189247345342523,"radial glia","radial glia vs Cajal-Retzius","Clta","44025560-44032400"
"Cdc42..137322619-137328712",2.44961191560996e-08,-0.659476839288628,0.157,0.75,0.00226689536282462,"Cajal-Retzius","radial glia vs Cajal-Retzius","Cdc42","137322619-137328712"
"Cdc42..137321192-137328712",0.0050697008288923,0.25010693743814,0.9,0.562,1,"radial glia","radial glia vs Cajal-Retzius","Cdc42","137321192-137328712"
"Ergic3..156011406-1560153763",1.18527591936283e-06,-0.323672141873137,0.086,0.562,0.109686618853755,"Cajal-Retzius","radial glia vs Cajal-Retzius","Ergic3","156011406-156015376"
"Ergic3..156015391-1560159883",3.17269424224437e-06,-0.319803672863059,0.1,0.562,0.293604297871536,"Cajal-Retzius","radial glia vs Cajal-Retzius","Ergic3","156015391-156015988"
"Ergic3..156011406-1560159883",3.49509185605703e-05,0.318885136262543,0.7,0.062,1,"radial glia","radial glia vs Cajal-Retzius","Ergic3","156011406-156015988"
"Gnas..174334284-174341652",2.39080296509078e-05,0.289604384380853,0.643,0,1,"radial glia","radial glia vs Cajal-Retzius","Gnas","174334284-174341652"
"Gnas..174327941-174328107",0.00313545320547562,-0.361234754745056,0,0.125,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174327941-174328107"
"Gnas..174345562-174345648",0.00867662015662032,-0.442446460303967,1,1,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174345562-174345648"
"Gnas..174334284-174336746",0.0098757429035502,-0.448526598310677,1,0.938,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174334284-174336746"
"Gnas..174345779-174345989",0.0119517611336847,-0.474111706646795,1,1,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174345779-174345989"
"Gnas..174346057-174346241",0.0135424693185782,-0.469318251074839,1,1,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174346057-174346241"
"Gnas..174336791-174341652",0.03265878409682,-0.399434510773008,1,0.938,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174336791-174341652"
"Gnas..174330434-174334211",0.0364507289760624,-0.35703201763025,1,0.938,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gnas","174330434-174334211"
"Gas5..161037164-1610372874",6.62221889158078e-05,0.465514311932433,0.8,0.25,1,"radial glia","radial glia vs Cajal-Retzius","Gas5","161037164-161037287"
"Gas5..161036852-1610371234",6.62221889158078e-05,0.46261320381716,0.8,0.25,1,"radial glia","radial glia vs Cajal-Retzius","Gas5","161036852-161037123"
"Gas5..161036852-1610372874",0.0035773349746954,-0.606852725130826,0.786,0.875,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Gas5","161036852-161037287"
"Psap..60296002-60299097",0.000553885890839238,0.283144724156924,0.6,0.125,1,"radial glia","radial glia vs Cajal-Retzius","Psap","60296002-60299097"
"Psap..60297545-60299097",0.00213883243771142,-0.252338083299896,0.357,0.688,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Psap","60297545-60299097"
"Psap..60296002-60297536",0.00213883243771142,-0.252338083299896,0.357,0.688,1,"Cajal-Retzius","radial glia vs Cajal-Retzius","Psap","60296002-60297536"
"Clta..44025560-440302144",9.72109323087407e-25,-0.456137985579851,0.403,0.842,8.99599688678318e-20,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324004",2.31213820802954e-24,-0.451267801201618,0.378,0.833,2.13967581909262e-19,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324004",2.06452304600583e-14,0.303762980899592,0.84,0.487,1.91053027200426e-09,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Clta","44025560-44032400"
"Clta..44025560-440302145",5.4086129121625e-34,-0.583662587900541,0.403,0.881,5.0051844750443e-29,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324005",4.95344660782616e-33,-0.565674727680867,0.378,0.874,4.5839690253484e-28,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324005",8.52656685702365e-22,0.386868838700565,0.84,0.5,7.89057023515825e-17,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Clta","44025560-44032400"
"Gas5..161036852-1610371235",7.42947552771345e-18,0.252576775664362,0.681,0.27,6.8753109481013e-13,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Gas5","161036852-161037123"
"Gas5..161037164-1610372875",8.88879635795324e-18,0.250139620328567,0.681,0.27,8.2257810376135e-13,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Gas5","161037164-161037287"
"Gas5..161036852-1610372875",1.08425585977246e-15,-0.409172527837033,0.941,0.986,1.00338121519203e-10,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036852-161037287"
"Gas5..161036014-1610362072",6.77933982240076e-09,-0.303471429465518,0.966,0.986,0.000627366886504789,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036014-161036207"
"Gas5..161035804-1610359822",2.82575679090986e-07,-0.272452210548526,0.966,0.986,0.026149835918759,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161035804-161035982"
"Gas5..161036244-1610365482",3.83433012663601e-07,-0.270352532019099,0.958,0.975,0.0354832744249023,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036244-161036548"
"Gas5..161038272-1610384562",7.29561660821962e-07,-0.265215416599047,0.966,0.986,0.0675143656541252,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161038272-161038456"
"Gas5..161036579-1610368192",9.17967718790705e-07,-0.266105925022023,0.966,0.986,0.0849496506646107,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036579-161036819"
"Gas5..161038037-1610382242",1.15835971693977e-06,-0.267665443093548,0.966,0.986,0.107195766565324,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161038037-161038224"
"Gas5..161037315-1610375042",1.40394685203696e-06,-0.258462719319076,0.966,0.986,0.129922645634352,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161037315-161037504"
"Gas5..161037547-1610379942",2.56115348608079e-06,-0.259903426310918,0.966,0.986,0.237011704755402,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161037547-161037994"
"Clta..44030268-440324006",6.41317792836171e-25,-0.615152727789819,0.378,0.827,5.93481898668521e-20,"mature GABAergic","cycling radial glia vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440302146",1.85443077180492e-24,-0.613236260929989,0.403,0.827,1.716108780536e-19,"mature GABAergic","cycling radial glia vs mature GABAergic","Clta","44025560-44030214"
"Clta..44025560-440324006",1.10804576246868e-15,0.34213951051959,0.84,0.335,1.02539662904614e-10,"cycling radial glia","cycling radial glia vs mature GABAergic","Clta","44025560-44032400"
"Rps24..24494069-244954291",3.54959129382209e-16,-0.82817302535395,0.126,0.938,3.2848272792159e-11,"Cajal-Retzius","cycling radial glia vs Cajal-Retzius","Rps24","24494069-24495429"
"Rps24..24493493-244940511",3.54959129382209e-16,-0.833846659917902,0.126,0.938,3.2848272792159e-11,"Cajal-Retzius","cycling radial glia vs Cajal-Retzius","Rps24","24493493-24494051"
"Rps24..24493493-244954291",8.42625716032404e-07,0.550157863972827,1,1,0.0779774263873547,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","24493493-24495429"
"Rps24..24490758-24491749",0.000135850134049464,0.377782603656003,0.992,1,1,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","24490758-24491749"
"Rps24..24495449-24495774",0.00020999056312143,0.336466760402073,1,1,1,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","24495449-24495774"
"Rps24..24492116-24493382",0.000240051312267968,0.329423876211172,1,1,1,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","24492116-24493382"
"Rps24..24491815-24491906",0.000266958938491914,0.327083512892977,1,1,1,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","24491815-24491906"
"Clta..44025560-440324007",2.41669530125339e-06,0.495795611248301,0.84,0.188,0.22364339987329,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Clta","44025560-44032400"
"Clta..44025560-440302147",0.000134598855261299,-0.376834240026969,0.403,0.75,1,"Cajal-Retzius","cycling radial glia vs Cajal-Retzius","Clta","44025560-44030214"
"Clta..44030268-440324007",0.0102734921111082,-0.265203831665141,0.378,0.625,1,"Cajal-Retzius","cycling radial glia vs Cajal-Retzius","Clta","44030268-44032400"
"Gas5..161037164-1610372876",8.46070284432659e-21,0.534148596337326,0.736,0.252,7.82961901916827e-16,"intermediate progenitor","intermediate progenitor vs imature Glutamatergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371236",8.8401678822421e-21,0.529363620837084,0.736,0.252,8.18077975990567e-16,"intermediate progenitor","intermediate progenitor vs imature Glutamatergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372876",1.25262782240082e-05,-0.258448176229966,0.943,0.974,1,"imature Glutamatergic","intermediate progenitor vs imature Glutamatergic","Gas5","161036852-161037287"
"Clta..44025560-440302148",2.10632875296932e-14,-0.373309697249415,0.552,0.881,1.94921769128534e-09,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324008",1.47629318949132e-13,-0.355785895596504,0.552,0.874,1.36617648048716e-08,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324008",1.09299651607968e-12,0.439050009338848,0.747,0.5,1.0114699059453e-07,"intermediate progenitor","intermediate progenitor vs mature Glutamatergic","Clta","44025560-44032400"
"Myl6..128491764-128492058",4.056365494894e-19,0.420757549991054,0.747,0.173,3.75380119262986e-14,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Myl6","128491764-128492058"
"Myl6..128491033-128491719",4.20772935910096e-19,0.415736302815802,0.747,0.173,3.89387482620562e-14,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Myl6","128491033-128491719"
"Myl6..128491033-128492058",8.63595840435036e-07,-0.260412250319249,0.655,0.821,0.0799180226696986,"mature GABAergic","intermediate progenitor vs mature GABAergic","Myl6","128491033-128492058"
"Clta..44025560-440302149",4.85459095908575e-10,-0.402883370278864,0.552,0.827,4.49248701944755e-05,"mature GABAergic","intermediate progenitor vs mature GABAergic","Clta","44025560-44030214"
"Clta..44030268-440324009",4.88200992578785e-10,-0.405263895705456,0.552,0.827,4.51786080542334e-05,"mature GABAergic","intermediate progenitor vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440324009",5.16642238458317e-10,0.394320681157873,0.747,0.335,4.78105893891711e-05,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Clta","44025560-44032400"
"Rps24..24493493-244940512",2.20706420621903e-14,-0.818185927039318,0.103,0.938,2.04243928707715e-09,"Cajal-Retzius","intermediate progenitor vs Cajal-Retzius","Rps24","24493493-24494051"
"Rps24..24494069-244954292",2.93664899853201e-14,-0.812512292475366,0.103,0.938,2.71760434973151e-09,"Cajal-Retzius","intermediate progenitor vs Cajal-Retzius","Rps24","24494069-24495429"
"Rps24..24493493-244954292",8.68632579120332e-06,0.564676615349421,1,1,0.803841275043746,"intermediate progenitor","intermediate progenitor vs Cajal-Retzius","Rps24","24493493-24495429"
"Rps24..24490758-244917491",4.8003075318102e-05,0.457516580657466,1,1,1,"intermediate progenitor","intermediate progenitor vs Cajal-Retzius","Rps24","24490758-24491749"
"Rps24..24492116-244933821",0.000144047408385046,0.38297748286897,1,1,1,"intermediate progenitor","intermediate progenitor vs Cajal-Retzius","Rps24","24492116-24493382"
"Rps24..24491815-244919061",0.000149433591494392,0.379992571395964,1,1,1,"intermediate progenitor","intermediate progenitor vs Cajal-Retzius","Rps24","24491815-24491906"
"Rps24..24495449-244957741",0.000549999575748173,0.354177468918948,1,1,1,"intermediate progenitor","intermediate progenitor vs Cajal-Retzius","Rps24","24495449-24495774"
"Rps24..24493493-244940513",1.08900947964092e-18,-0.809287360311763,0.132,0.938,1.0077802625545e-13,"Cajal-Retzius","imature Glutamatergic vs Cajal-Retzius","Rps24","24493493-24494051"
"Rps24..24494069-244954293",2.10457623130137e-18,-0.803613725747811,0.132,0.938,1.9475958902086e-13,"Cajal-Retzius","imature Glutamatergic vs Cajal-Retzius","Rps24","24494069-24495429"
"Rps24..24493493-244954293",0.000895325787058937,0.27243272065971,1,1,1,"imature Glutamatergic","imature Glutamatergic vs Cajal-Retzius","Rps24","24493493-24495429"
"Myl6..128491764-1284920581",7.8189266484347e-05,-0.492823169986623,0.462,0.875,1,"Cajal-Retzius","imature Glutamatergic vs Cajal-Retzius","Myl6","128491764-128492058"
"Myl6..128491033-1284920581",0.000388943799907501,0.35834841596959,0.774,0.5,1,"imature Glutamatergic","imature Glutamatergic vs Cajal-Retzius","Myl6","128491033-128492058"
"Myl6..128491033-1284917191",0.000820263980628466,-0.415459937055408,0.457,0.812,1,"Cajal-Retzius","imature Glutamatergic vs Cajal-Retzius","Myl6","128491033-128491719"
"Ttc3..94370971-94403313",0.0266092821559676,-0.276199394295677,0.526,0.75,1,"Cajal-Retzius","imature Glutamatergic vs Cajal-Retzius","Ttc3","94370971-94403313"
"Ttc3..94427927-94429358",0.0344487289163519,0.256991652133628,0.846,0.688,1,"imature Glutamatergic","imature Glutamatergic vs Cajal-Retzius","Ttc3","94427927-94429358"
"Clta..44025560-4403021410",8.45058662878307e-14,0.300046767084617,0.881,0.556,7.82025737214214e-09,"mature Glutamatergic","mature Glutamatergic vs imature GABAergic","Clta","44025560-44030214"
"Clta..44030268-4403240010",7.05919567025271e-13,0.284524889630133,0.874,0.542,6.53265026520856e-08,"mature Glutamatergic","mature Glutamatergic vs imature GABAergic","Clta","44030268-44032400"
"Clta..44025560-4403240010",2.47411319242162e-08,-0.29100826952262,0.5,0.611,0.00228956908939889,"imature GABAergic","mature Glutamatergic vs imature GABAergic","Clta","44025560-44032400"
"Tcf4..69521485-69564036",6.22880102862174e-24,0.302230771496536,0.489,0.023,5.76419475989684e-19,"mature Glutamatergic","mature Glutamatergic vs mature GABAergic","Tcf4","69521485-69564036"
"Tcf4..69593584-69633576",6.13712816433196e-08,-0.360768155150394,0.608,0.665,0.00567935977455444,"mature GABAergic","mature Glutamatergic vs mature GABAergic","Tcf4","69593584-69633576"
"Myl6..128491764-1284920582",1.05287676714796e-07,-0.65497176849647,0.381,0.875,0.00974342689086397,"Cajal-Retzius","mature Glutamatergic vs Cajal-Retzius","Myl6","128491764-128492058"
"Myl6..128491033-1284920582",1.68624285572298e-06,0.54654235028318,0.892,0.5,0.156046600111461,"mature Glutamatergic","mature Glutamatergic vs Cajal-Retzius","Myl6","128491033-128492058"
"Myl6..128491033-1284917192",2.83215360469521e-06,-0.57268329458018,0.381,0.812,0.2620903267321,"Cajal-Retzius","mature Glutamatergic vs Cajal-Retzius","Myl6","128491033-128491719"
"Rps24..24493493-244940514",4.57449462893092e-17,-0.806585854160841,0.111,0.938,4.23328307455896e-12,"Cajal-Retzius","imature GABAergic vs Cajal-Retzius","Rps24","24493493-24494051"
"Rps24..24494069-244954294",6.05393226226739e-17,-0.800912219596889,0.111,0.938,5.60236945482487e-12,"Cajal-Retzius","imature GABAergic vs Cajal-Retzius","Rps24","24494069-24495429"
"Rps24..24493493-244954294",0.000980649022009154,0.325098419371597,1,1,1,"imature GABAergic","imature GABAergic vs Cajal-Retzius","Rps24","24493493-24495429"
"Myl6..128491764-1284920583",1.96412963888152e-05,-0.542598802833334,0.389,0.875,1,"Cajal-Retzius","imature GABAergic vs Cajal-Retzius","Myl6","128491764-128492058"
"Myl6..128491033-1284917193",0.000257214297687993,-0.45965351057455,0.389,0.812,1,"Cajal-Retzius","imature GABAergic vs Cajal-Retzius","Myl6","128491033-128491719"
"Myl6..128491033-1284920583",0.00108845441911604,0.433509174753752,0.708,0.5,1,"imature GABAergic","imature GABAergic vs Cajal-Retzius","Myl6","128491033-128492058"
"Myl6..128491764-1284920584",3.12959008767813e-11,-0.679387442053751,0.173,0.875,2.89615396303821e-06,"Cajal-Retzius","mature GABAergic vs Cajal-Retzius","Myl6","128491764-128492058"
"Myl6..128491033-1284917194",1.56360621689997e-09,-0.596442149794967,0.173,0.812,0.00014469768291814,"Cajal-Retzius","mature GABAergic vs Cajal-Retzius","Myl6","128491033-128491719"
"Myl6..128491033-1284920584",1.00352057172408e-05,0.558775192584513,0.821,0.5,0.928667972279184,"mature GABAergic","mature GABAergic vs Cajal-Retzius","Myl6","128491033-128492058"
