geneId	transcriptId	nbExons	nbUmis
Chp1	ENSMUST00000137585.2	5	1
Zcchc12	undef	0	59
Homer2	ENSMUST00000026922.14	9	36
RP23-434A16.5	ENSMUST00000208673.1	1	1
Ikzf4	ENSMUST00000133342.9	8	4
Celf5	ENSMUST00000118763.7	12	23
RP23-403P24.3	undef	0	2
RP24-175C20.9	ENSMUST00000075585.4	1	79
Zfp961	ENSMUST00000109997.9	4	3
Plekhf2	ENSMUST00000054776.3	2	198
Prc1	ENSMUST00000206178.1	4	78
AC109200.2	undef	0	1
Tstd3	undef	0	10
RP23-223O9.2	undef	0	1
RP23-175C13.4	ENSMUST00000180425.1	1	8
Rsrp1	ENSMUST00000149003.1	3	2
Med9	undef	0	16
Smarca2	ENSMUST00000208589.1	7	3
RP24-114E18.6	ENSMUST00000122112.1	1	14
Zfp738	ENSMUST00000175678.1	3	3
Tnfrsf17	ENSMUST00000023140.5	3	2
AC110538.1	ENSMUST00000118681.1	1	3
CAAA01180111.2	undef	0	112
Ankrd13d	ENSMUST00000163858.7	15	2
Pfkm	undef	0	164
Ctr9	ENSMUST00000146558.1	2	1
Tia1	ENSMUST00000152852.1	2	11
AC102628.1	ENSMUST00000107992.1	4	8
Cenpa	ENSMUST00000199320.4	4	1
Lix1l	ENSMUST00000062058.4	6	53
RP23-414K1.6	undef	0	11
Car3	ENSMUST00000029076.5	7	9
Cryl1	ENSMUST00000225765.1	4	1
Hsd17b10	ENSMUST00000151200.7	5	48
RP23-71G16.2	undef	0	13
Pus7	ENSMUST00000119946.7	16	10
Cacna1a	undef	0	297
Zfp619	undef	0	3
Fam189a2	undef	0	5
Gbf1	ENSMUST00000176422.1	6	2
RP23-345I5.10	ENSMUST00000080330.5	1	4
RP24-163K4.3	ENSMUST00000209393.1	1	1
Sv2b	undef	0	5
Rps8	ENSMUST00000102696.4	6	2606
Hps4	ENSMUST00000177121.1	2	21
Fam83f	undef	0	1
Rad52	ENSMUST00000032269.11	12	4
Hist1h2bc	ENSMUST00000018246.5	2	1641
Imp4	undef	0	141
AC131706.1	ENSMUST00000122364.1	1	4
Gpatch4	ENSMUST00000166021.7	9	1
Nfkbil1	ENSMUST00000176748.1	2	4
Cdh24	undef	0	18
Ldoc1	ENSMUST00000075983.5	1	4
Mrps9	ENSMUST00000057208.12	11	280
Klf15	ENSMUST00000203607.1	2	3
Slc44a1	ENSMUST00000133582.1	2	1
Adam17	undef	0	37
Raver2	ENSMUST00000106955.1	8	1
RP23-273D6.2	ENSMUST00000047431.10	21	8
Lama3	undef	0	3
Rfk	ENSMUST00000025617.3	4	85
Tmbim6	ENSMUST00000160454.1	4	5
Btbd9	ENSMUST00000168787.6	11	155
RP23-391B20.2	ENSMUST00000178853.1	1	20
RP24-145F3.5	undef	0	1
Zfp316	ENSMUST00000051665.8	5	1
Dynll1	ENSMUST00000127552.1	3	5
Hist1h1d	ENSMUST00000045301.8	1	101
Spata21	undef	0	1
Hspa8	undef	0	2835
RP23-238L7.1	undef	0	73
Smg6	undef	0	429
Ptpre	ENSMUST00000073961.7	21	1
Amn	ENSMUST00000220551.1	7	1
Cbll1	undef	0	139
Sucla2	undef	0	121
RP24-103L16.2	undef	0	1
Naa50	ENSMUST00000161326.7	5	83
Gpr107	ENSMUST00000153032.1	4	1
Efemp2	undef	0	51
Pard3	ENSMUST00000162907.7	16	6
AC139867.2	ENSMUST00000056038.14	5	23
Daam1	undef	0	510
RP23-41J14.5	ENSMUST00000010673.6	1	9
Tor2a	undef	0	37
Vta1	ENSMUST00000154132.7	8	646
Atp5d	ENSMUST00000003156.14	4	3165
Smim4	ENSMUST00000049732.10	2	202
Akip1	ENSMUST00000033335.5	6	34
Grb14	ENSMUST00000028252.13	14	32
Coq7	ENSMUST00000127700.1	2	12
Creld1	ENSMUST00000032422.5	10	148
Mvd	ENSMUST00000006692.5	10	210
Abhd4	ENSMUST00000041197.11	7	31
Rasgrf2	undef	0	3
Ddx59	ENSMUST00000027655.7	8	17
S1pr1	undef	0	28
Ube2l6	undef	0	10
Apip	ENSMUST00000011055.6	7	185
Slc14a1	ENSMUST00000091813.11	9	1
RP24-502H6.1	undef	0	2
Xrn2	undef	0	811
Rab22a	undef	0	97
Rnf208	ENSMUST00000154498.1	2	186
Hnrnpk	ENSMUST00000176207.7	15	272
Glcci1	undef	0	46
Esco1	ENSMUST00000115864.7	10	2
Ints9	ENSMUST00000224593.1	8	1
Tbc1d12	ENSMUST00000037302.5	13	2
Ggt5	undef	0	1
Mief2	undef	0	41
Tsen2	ENSMUST00000040234.8	12	84
Cisd3	ENSMUST00000107584.7	4	21
Pgd	ENSMUST00000084124.6	13	177
Cdc23	ENSMUST00000135208.1	2	3
Fgf18	ENSMUST00000020507.7	5	2
Ccdc102a	ENSMUST00000077955.5	9	11
Slc44a1	ENSMUST00000107651.8	16	5
Tef	ENSMUST00000023024.7	4	20
Glrx	ENSMUST00000022082.7	3	103
RP23-145M5.3	undef	0	1
Gprc5c	undef	0	6
Chga	ENSMUST00000021610.6	8	235
Pi4k2b	undef	0	27
AC166710.3	ENSMUST00000141846.1	2	20
Nabp2	ENSMUST00000172348.7	7	22
Gtf2h1	ENSMUST00000006774.10	15	125
RP24-500L4.1	undef	0	1
Mcoln1	ENSMUST00000161705.2	2	8
Phtf1os	ENSMUST00000160110.1	1	29
Zfp707	ENSMUST00000147641.7	4	3
RP23-296I6.5	ENSMUST00000183619.1	1	110
RP23-173N16.6	undef	0	15
RP23-282C23.5	ENSMUST00000121031.1	1	8
Nmd3	ENSMUST00000029358.14	16	127
Ythdf1	undef	0	98
RP23-180A14.5	undef	0	10
Synm	undef	0	6
Wnt7a	ENSMUST00000032180.6	4	35
Dbi	ENSMUST00000128408.7	4	29
Uvrag	ENSMUST00000207032.1	12	20
Kcnd2	undef	0	52
Eif3g	undef	0	199
RP24-146I24.10	undef	0	1
Grik4	undef	0	29
Entpd7	ENSMUST00000081079.5	13	4
Rab24	ENSMUST00000035242.8	8	437
Ctr9	ENSMUST00000157025.7	2	1
Mum1	ENSMUST00000020365.14	14	73
RP23-338E5.2	undef	0	45
Copg1	ENSMUST00000049966.5	5	120
RP23-245A10.3	ENSMUST00000076071.2	1	83
Mrpl36	undef	0	52
Msantd2	ENSMUST00000048604.7	4	9
Zmym4	undef	0	198
Lins1	ENSMUST00000121777.8	8	1
Snx24	ENSMUST00000025417.8	8	3
Tsr3	undef	0	241
Wdr66	undef	0	45
Arfip2	undef	0	92
Chmp7	undef	0	142
Zfp940	ENSMUST00000085792.4	5	28
H2afv	ENSMUST00000109737.8	5	3372
Zfp513	undef	0	65
Amn1	ENSMUST00000127743.7	4	3
Unc80	ENSMUST00000136727.1	6	1
Cab39l	ENSMUST00000224281.1	5	2
RP23-321M22.3	undef	0	11
Cmc2	ENSMUST00000134356.1	3	14
Tollip	undef	0	73
Cep350	undef	0	85
RP23-190A21.4	undef	0	2
Col26a1	ENSMUST00000140245.2	3	5
Meis3	ENSMUST00000175946.7	12	46
Zfyve27	ENSMUST00000166788.1	2	12
Efcab2	undef	0	28
Tpm3	ENSMUST00000147430.7	4	2
RP23-217H9.3	ENSMUST00000219031.1	1	7
Isl2	undef	0	1
RP24-532A16.2	undef	0	1
Snx9	undef	0	25
Bdh1	ENSMUST00000128286.1	2	49
Thrap3	ENSMUST00000154702.1	2	23
Emc2	undef	0	133
Snx22	ENSMUST00000044711.6	7	1
Btbd3	undef	0	36
Pgm5	undef	0	1
Pias1	ENSMUST00000098651.5	14	77
Alcam	ENSMUST00000170035.7	15	3
Tmem74b	ENSMUST00000060196.2	2	80
RP23-262J21.8	undef	0	12
Tm9sf1	undef	0	20
Kif1bp	ENSMUST00000162525.7	6	1
Arrb1	undef	0	86
Capn15	undef	0	104
Nvl	ENSMUST00000195209.1	2	4
RP23-110B5.4	ENSMUST00000189856.1	1	1
Rpl9	undef	0	344
Grin1	ENSMUST00000114307.7	19	1
Dusp10	undef	0	75
Scai	ENSMUST00000038874.11	18	9
Gm24497	ENSMUST00000177868.1	1	1
Scn9a	undef	0	39
Dad1	undef	0	27
Rit1	ENSMUST00000172333.7	6	8
RP24-499N24.4	ENSMUST00000217259.1	2	9
Sf3b6	ENSMUST00000219359.1	2	4
Atp6v0e	undef	0	96
Trim27	undef	0	183
AC166332.1	ENSMUST00000128433.7	3	5
Cep57	ENSMUST00000147115.7	10	14
Prr18	ENSMUST00000163887.1	2	30
Pard3	ENSMUST00000160593.7	17	1
RP24-423L4.4	ENSMUST00000196232.1	1	54
Edem1	undef	0	39
Ogg1	ENSMUST00000136263.3	7	11
Fam179b	undef	0	115
Tmem222	ENSMUST00000132713.1	4	1
RP23-289H16.2	ENSMUST00000036952.4	3	95
Galnt1	ENSMUST00000000430.13	13	2
Prpf38b	ENSMUST00000199735.4	7	2
RP23-453N3.5	ENSMUST00000186507.1	1	6
RP23-39I7.4	ENSMUST00000119345.1	1	31
Cmc1	undef	0	40
Tctex1d2	ENSMUST00000014220.14	5	133
Stx4a	undef	0	71
Coprs	undef	0	39
Msl2	ENSMUST00000085177.4	2	11
Trpm2	undef	0	6
Itsn1	undef	0	1030
Nqo1	undef	0	1
Ciapin1	ENSMUST00000034233.14	9	34
Acat3	ENSMUST00000043923.11	9	3
Trappc2	ENSMUST00000112192.7	4	1
Tmem136	ENSMUST00000061833.5	3	10
Dnaic2	ENSMUST00000069325.13	13	1
RP24-98O8.4	ENSMUST00000208745.1	1	3
Tuba1c	undef	0	29
Hepacam2	undef	0	1
Mest	undef	0	544
Aldh2	ENSMUST00000031411.14	13	247
Cep170	ENSMUST00000192927.5	8	7
Sfswap	ENSMUST00000199692.1	4	4
RP23-148P22.2	undef	0	22
Smarcad1	ENSMUST00000205118.2	3	43
Olfr111	undef	0	1
Gm26507	ENSMUST00000181838.1	2	7
Ccnh	ENSMUST00000166932.1	2	3
Zfp617	ENSMUST00000119003.1	4	17
Arl14ep	ENSMUST00000146961.1	3	3
Arsi	undef	0	1
Ube2f	ENSMUST00000171165.7	10	122
Rpl10	ENSMUST00000125775.7	5	7
Zdhhc23	undef	0	36
Acat1	undef	0	323
Rhebl1	ENSMUST00000155699.1	2	2
Zfp931	ENSMUST00000108924.8	4	3
Hivep3	ENSMUST00000166542.2	6	5
Zfp251	ENSMUST00000229494.1	3	6
RP23-203A12.2	ENSMUST00000154194.1	2	25
Gm26566	ENSMUST00000181601.1	1	6
Prkcsh	ENSMUST00000216344.1	18	38
RP24-511J14.2	ENSMUST00000213617.1	1	14
Mprip	ENSMUST00000072031.12	23	11
Dbf4	ENSMUST00000166364.7	10	34
Susd3	ENSMUST00000058196.12	5	1
Galnt2	undef	0	12
Tmem229a	ENSMUST00000127247.3	1	8
Zfp799	undef	0	45
Cdc27	ENSMUST00000093923.8	19	1
Ubxn4	ENSMUST00000189895.1	2	14
Gnal	ENSMUST00000025402.13	12	15
Pum1	ENSMUST00000122847.1	4	34
Atp6ap1	undef	0	292
Dpf1	ENSMUST00000049977.12	12	80
Vangl2	ENSMUST00000111264.7	9	2
Ttc3	ENSMUST00000129536.1	2	31
Axin2	ENSMUST00000140821.1	2	1
Stx2	ENSMUST00000031378.13	11	2
Caskin2	undef	0	19
Nt5c3b	ENSMUST00000107399.8	9	4
RP24-142E6.6	ENSMUST00000194486.1	1	1
Tle2	undef	0	90
Mus81	ENSMUST00000146661.1	4	2
Ddx19a	undef	0	84
Tma7	ENSMUST00000193868.1	3	26
RP23-1O16.3	ENSMUST00000136288.1	2	1
Pcmt1	undef	0	194
Btbd17	ENSMUST00000141481.1	2	3
Ppp6r2	ENSMUST00000226779.1	8	15
RP23-223C23.3	undef	0	9
Dph5	undef	0	118
Crebzf	ENSMUST00000209102.1	3	4
Wdr25	ENSMUST00000220667.1	2	1
Map2	ENSMUST00000174590.1	3	11
Fkbp1b	undef	0	22
Rad17	ENSMUST00000022136.13	17	2
Chga	undef	0	317
Creg2	undef	0	2
Dnajc19	ENSMUST00000120805.7	5	21
RP23-312B17.2	undef	0	1
Man1a2	ENSMUST00000123442.1	3	1
1700028P14Rik	ENSMUST00000035849.3	6	2
Zfp382	ENSMUST00000098596.10	5	6
Ube2n	ENSMUST00000219381.1	2	3
Maz	ENSMUST00000206953.1	3	6
Stxbp5l	ENSMUST00000149790.1	3	4
Top1	undef	0	4785
Txnrd1	ENSMUST00000219442.1	14	105
RP23-336L12.3	ENSMUST00000204392.1	1	1
Rpl36a	ENSMUST00000170828.1	5	1098
RP24-231P10.2	ENSMUST00000197061.1	1	56
Scyl2	ENSMUST00000174429.1	2	3
Ttc30a1	ENSMUST00000099994.4	1	32
Phf6	ENSMUST00000154864.3	9	3
Atad2	undef	0	159
RP24-276N20.2	undef	0	2
Cdca8	undef	0	106
Sncg	undef	0	1
Rbm22	undef	0	169
RP23-68E4.2	undef	0	1
Slc29a2	ENSMUST00000025826.5	12	12
Ckap2l	ENSMUST00000052708.6	9	10
Fkbp15	ENSMUST00000107461.1	19	1
Pddc1	ENSMUST00000106008.2	8	261
Dnajc17	ENSMUST00000125731.1	5	1
Hsd17b4	ENSMUST00000127325.1	2	5
Arhgef18	ENSMUST00000004684.12	20	1
Atp6v0a2	ENSMUST00000037865.12	20	18
Adgra2	undef	0	6
Slc46a1	undef	0	3
RP24-273I13.1	ENSMUST00000164755.1	2	9
Zfr	undef	0	602
Szt2	undef	0	27
RP23-159A20.2	ENSMUST00000218041.1	1	11
Zfp950	ENSMUST00000205712.1	6	1
Mia2	ENSMUST00000170992.8	23	27
Aga	undef	0	7
Ufd1l	ENSMUST00000170325.1	2	3
Sec22c	ENSMUST00000111560.9	7	15
Lzts2	undef	0	114
Tlr2	undef	0	2
Apoe	ENSMUST00000173739.7	3	94
Auts2	ENSMUST00000159507.1	3	9
Rpp21	ENSMUST00000025319.6	5	354
Pik3r1	undef	0	468
Rhbdl2	undef	0	2
RP23-426E11.3	ENSMUST00000215943.1	1	1
Atp5d	ENSMUST00000105367.7	5	4
Tubb5	ENSMUST00000173253.1	3	251
Rgag4	undef	0	24
Tbccd1	undef	0	26
Slc17a7	ENSMUST00000085374.6	12	5
Drd	ENSMUST00000021932.5	2	4
RP23-309G12.2	ENSMUST00000197753.1	1	1
Mical3	undef	0	168
Rala	ENSMUST00000009003.8	5	2011
Ankrd13b	ENSMUST00000037593.13	15	4
RP23-92M3.1	ENSMUST00000203918.1	1	3
Prpf39	ENSMUST00000220798.1	15	1
Utp15	undef	0	72
Rps9	ENSMUST00000108623.7	5	5
Slc26a11	undef	0	17
Nsd2	ENSMUST00000155880.7	3	6
Smox	ENSMUST00000028806.11	7	77
Syt5	ENSMUST00000065957.6	8	10
Kcnmb4	ENSMUST00000068233.10	3	54
Ggh	ENSMUST00000098242.3	9	128
Mmp16	ENSMUST00000139418.1	3	1
Tia1	ENSMUST00000143718.7	5	40
RP23-135A21.1	ENSMUST00000121965.1	1	24
Fgl2	ENSMUST00000035799.5	2	2
Emp2	undef	0	17
RP23-376B19.2	ENSMUST00000045876.7	24	9
Cryba4	ENSMUST00000112383.7	4	3
Cars2	ENSMUST00000210478.1	15	1
Tmem41a	ENSMUST00000232635.1	4	21
Pak1	ENSMUST00000033040.11	15	152
Taf12	undef	0	67
Phkg2	ENSMUST00000033086.7	10	42
Akap8	undef	0	296
Mief2	ENSMUST00000018743.4	4	34
RP23-310L11.1	ENSMUST00000120572.1	1	1
Slc3a2	ENSMUST00000206895.1	2	19
Phtf1	ENSMUST00000055425.14	18	1
Hook2	ENSMUST00000210326.1	16	5
Crim1	undef	0	153
Tln1	ENSMUST00000123985.1	2	532
Phactr1	undef	0	868
Hnrnpa2b1	ENSMUST00000205204.1	4	1
RP23-253F13.1	ENSMUST00000222438.1	1	8
Fbxo44	ENSMUST00000172472.7	6	4
RP23-13A15.8	ENSMUST00000204345.1	1	10
RP23-478B10.1	ENSMUST00000211678.1	1	22
Ptpru	undef	0	15
Sytl5	undef	0	10
Reps1	undef	0	113
Hspb11	ENSMUST00000106749.7	6	131
Sdccag3	ENSMUST00000114102.9	10	4
Zscan18	undef	0	48
Mapk7	ENSMUST00000108714.1	7	5
Cttnbp2nl	ENSMUST00000197437.4	6	4
Rps24	undef	0	4952
RP23-105K2.3	undef	0	282
Sarnp	ENSMUST00000219512.1	12	1
AC103620.1	ENSMUST00000121942.1	1	5
Mir8109	ENSMUST00000184375.1	1	18
Cacnb3	ENSMUST00000230490.1	13	214
Jph4	ENSMUST00000124493.1	5	3
Acadm	ENSMUST00000135724.1	2	6
Ltc4s	ENSMUST00000102772.3	5	7
Impa1	undef	0	115
Ing3	ENSMUST00000031680.9	12	39
Hells	ENSMUST00000138292.7	4	4
Phospho2	ENSMUST00000151298.7	4	11
Sdcbp2	undef	0	1
Bccip	ENSMUST00000157077.1	3	4
Tigd2	undef	0	129
Gm26438	ENSMUST00000082593.1	1	2
Prpf38b	ENSMUST00000029480.8	6	271
Tbx18	undef	0	4
Tcf25	ENSMUST00000212880.1	5	27
Sdhb	ENSMUST00000010007.8	8	1742
RP24-89M13.2	ENSMUST00000212879.1	2	2
Mapk8ip1	ENSMUST00000050312.2	12	34
Ptn	ENSMUST00000201321.1	4	1324
Cntln	ENSMUST00000107190.1	6	1
March3	undef	0	6
Tmem234	undef	0	472
Ino80e	undef	0	145
Ube2e2	ENSMUST00000176672.1	3	3
Kcnq2	undef	0	215
Slc22a29	undef	0	1
Tbl1xr1	undef	0	184
Hmces	ENSMUST00000148914.1	2	16
RP24-115G21.4	undef	0	1
R3hcc1l	ENSMUST00000026188.9	7	10
Tcf3	ENSMUST00000105342.7	19	21
Fgf9	ENSMUST00000165526.8	3	1
Arfgap1	ENSMUST00000108859.7	12	5
Gm25711	ENSMUST00000158633.1	1	1
Cend1	undef	0	34
RP23-234K24.8	ENSMUST00000131787.1	5	1712
Irgm1	undef	0	2
Prpf38b	ENSMUST00000145720.1	5	1
Usp4	ENSMUST00000195608.1	6	2
Tra2a	ENSMUST00000204189.2	8	51
Ptpn1	ENSMUST00000126839.7	10	14
Tigd3	undef	0	7
Tmem267	ENSMUST00000223912.1	3	2
Emx1	ENSMUST00000045942.8	3	481
Taf13	undef	0	325
Ube2r2	ENSMUST00000123642.1	2	29
Rps13-ps2	ENSMUST00000182017.1	1	5295
RP23-351O8.8	undef	0	1
RP24-496C22.6	ENSMUST00000196551.1	1	3
Med19	ENSMUST00000102645.3	5	204
Klf4	ENSMUST00000107619.2	5	12
A330069E16Rik	ENSMUST00000181191.1	2	21
Psme1	ENSMUST00000174484.7	12	68
RP23-202G21.4	undef	0	3
Kif1b	ENSMUST00000030806.5	21	6
RP23-79K5.3	ENSMUST00000195551.1	1	1
RP23-428N4.2	undef	0	1
Rnf19a	undef	0	23
RP23-299A2.3	ENSMUST00000117993.1	1	23
Tnf	ENSMUST00000025263.14	4	3
Zfp40	ENSMUST00000037057.13	6	13
Zcchc4	ENSMUST00000157074.5	5	6
Pcdhb6	undef	0	5
Dcaf11	ENSMUST00000117236.7	15	5
Ccdc157	undef	0	14
Gadd45b	ENSMUST00000219449.1	2	4
Golga1	undef	0	190
Cox19	ENSMUST00000152715.1	2	2
Nol4l	undef	0	131
RP23-207N5.1	ENSMUST00000183043.7	3	45
Il11ra1	ENSMUST00000155538.7	4	1
Ctsc	ENSMUST00000032779.11	7	3
Acd	ENSMUST00000042608.7	11	251
Gm23830	ENSMUST00000157391.1	1	53
RP23-270A19.1	undef	0	1
Dnajb11	ENSMUST00000178320.1	11	3
Mtx1	undef	0	77
Itpa	ENSMUST00000103193.4	8	661
E2f7	undef	0	60
Diaph1	ENSMUST00000129688.1	3	1
Rab3b	ENSMUST00000106650.8	5	120
Stbd1	ENSMUST00000050952.3	2	5
Gpr158	ENSMUST00000055946.7	11	1
RP23-8J15.1	ENSMUST00000187117.1	1	4
Smarcc2	ENSMUST00000026433.8	28	24
Zdhhc3	ENSMUST00000147563.8	7	123
Ppt2	undef	0	10
Trrap	undef	0	249
Tepp	undef	0	1
Wdr83os	undef	0	46
RP23-366I10.5	ENSMUST00000228274.1	1	87
Opcml	ENSMUST00000133142.1	2	1
Cnih3	ENSMUST00000027795.13	6	55
Bend5	undef	0	98
Dido1	undef	0	138
Ssr2	ENSMUST00000192495.5	6	1
Foxj1	ENSMUST00000036215.7	3	2
Hdac2	ENSMUST00000019911.13	14	1385
Cfap53	undef	0	6
Cwc25	undef	0	187
Rab6b	ENSMUST00000035155.7	8	323
Cdk2ap1	ENSMUST00000111473.7	3	46
Anp32a	ENSMUST00000138226.7	7	5
Phactr2	undef	0	20
Tstd1	ENSMUST00000194029.1	2	1
Ppm1b	undef	0	165
AC123686.3	undef	0	47
Camk2d	ENSMUST00000199300.4	19	6
Rps19bp1	undef	0	102
Narfl	ENSMUST00000002350.10	11	48
Rnf19b	ENSMUST00000097874.8	9	3
